Kategoria,Hangszer_Nev,Oldalcim,URL
Digital,M50,Korg M50 Digital Synthesizer algorithmic arranger sequencer,https://www.sequencer.de/syns/korg/M50.html
Digital,Virusti2 Polar2,"Access Virus TI2, Polar 2 Digital Synthesizer",https://www.sequencer.de/syns/access/VirusTI2_Polar2.html
Digital,Solaris,John Bowen Solaris Digital Synthesizer step sequencer,https://www.sequencer.de/syns/johnbowen/Solaris.html
Modular,Kyma Capybara,"Symbolic Sound Kyma , Capybara Modular Synthesizer advanced sequencer",https://www.sequencer.de/syns/symbolicsound/Kyma_Capybara.html
Digital,Q+ Qplus,"Waldorf Q+, Qplus Hybrid Synthesizer analog step sequencer",https://www.sequencer.de/syns/waldorf/Q+_Qplus.html
Digital,M3,Korg m 3 Digital Synthesizer algorithmic arranger sequencer,https://www.sequencer.de/syns/korg/m3.html
Digital,Ps60,Korg PS60 Digital Synthesizer,https://www.sequencer.de/syns/korg/PS60.html
Digital,Microstation,Korg Microstation Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/korg/Microstation.html
Sampler,A5000,Yamaha A5000 Sampler simple sequencer,https://www.sequencer.de/syns/yamaha/A5000.html
Digital,Streichfett,Waldorf Streichfett Digital Synthesizer,https://www.sequencer.de/syns/waldorf/Streichfett.html
Digital,Proteus2500,Emu Proteus 2500 Digital Synthesizer TR sequencer,https://www.sequencer.de/syns/emu/Proteus2500.html
Digital,Xtremelead1 Xl1,"Emu Xtreme Lead 1, XL1 Digital Synthesizer",https://www.sequencer.de/syns/emu/XtremeLead1_XL1.html
Sampler,Emulatoriv Emulator4 Emulatorfour,"Emu Emulator IV, Emulator 4, Emulator Four Digital Synthesizer simple sequencer",https://www.sequencer.de/syns/emu/EmulatorIV_Emulator4_EmulatorFour.html
Sampler,Esynth,Emu Esynth Digital Synthesizer simple sequencer,https://www.sequencer.de/syns/emu/Esynth.html
Digital,Commandstation Xl7 Mp7 Px7,"Emu Command Station , XL7, MP7, PX7 Digital Synthesizer TR sequencer",https://www.sequencer.de/syns/emu/CommandStation_XL7_MP7_PX7.html
Digital,Audity2000,Emu Audity 2000 Digital Synthesizer,https://www.sequencer.de/syns/emu/Audity2000.html
Digital,Orbit3 Orbit2 9090,"Emu Orbit 3, Orbit 2, 9090 Digital Synthesizer",https://www.sequencer.de/syns/emu/Orbit3_Orbit2_9090.html
Digital,Orbit3,Emu Orbit 3 Digital Synthesizer,https://www.sequencer.de/syns/emu/Orbit3.html
Sampler,E4K Eivk E4Keyboard,"Emu E4K, EIVk , E4Keyboard Digital Synthesizer simple sequencer",https://www.sequencer.de/syns/emu/E4K_EIVk_E4Keyboard.html
Sampler,Emulator4Xtultra E4Xtultra,"Emu Emulator 4Xt Ultra , E4Xt Ultra Digital Synthesizer simple sequencer",https://www.sequencer.de/syns/emu/Emulator4XtUltra_E4XtUltra.html
Digital,Pc3X,Kurzweil PC3X Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/kurzweil/PC3X.html
Digital,Synclavier,NED Synclavier Digital Synthesizer advanced sequencer,https://www.sequencer.de/syns/ned/Synclavier.html
Digital,Xv3080,Roland XV3080 Digital Synthesizer,https://www.sequencer.de/syns/roland/XV3080.html
Digital,Xv5080 Fantom Xv88,"Roland XV5080, Fantom , XV88 Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/roland/XV5080_Fantom_XV88.html
Digital,Fantoms Fantomx Fantomxa,"Roland Fantom S, Fantom X, Fantom Xa Digital Synthesizer advanced sequencer",https://www.sequencer.de/syns/roland/FantomS_FantomX_FantomXa.html
Digital,Junog,Roland Juno G Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/roland/JunoG.html
Digital,Fantomg6 Fantomg7 Fantomg8,"Roland Fantom G6, Fantom G7, Fantom G8 Digital Synthesizer advanced sequencer",https://www.sequencer.de/syns/roland/FantomG6_FantomG7_FantomG8.html
Digital,Axsynth,Roland AXSynth Digital Synthesizer real time sequencer,https://www.sequencer.de/syns/roland/AXSynth.html
Digital,Vp770,Roland VP770 Digital Synthesizer,https://www.sequencer.de/syns/roland/VP770.html
Digital,Junodi Junostage,"Roland Juno Di , Juno Stage Digital Synthesizer",https://www.sequencer.de/syns/roland/JunoDi_JunoStage.html
Digital,Junogi,Roland Juno Gi Digital Synthesizer simple sequencer,https://www.sequencer.de/syns/roland/JunoGi.html
Digital,Tx816 Tx416 Tx216,"Yamaha TX816, TX416, TX216 Digital Synthesizer",https://www.sequencer.de/syns/yamaha/TX816_TX416_TX216.html
Digital,Ex5,Yamaha EX5 Digital Synthesizer workstation sequencer,https://www.sequencer.de/syns/yamaha/EX5.html
Digital,Motif Motifes,"Yamaha Motif , Motif ES Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/yamaha/Motif_MotifES.html
Digital,Motifxs Xs6 Xs7 Xs8,"Yamaha Motif XS, XS6, XS7, XS8 Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/yamaha/MotifXS_XS6_XS7_XS8.html
Digital,Motifxf6 Motifxf7 Motifxf8,"Yamaha Motif XF6, Motif XF7, Motif XF8 Digital Synthesizer workstation sequencer",https://www.sequencer.de/syns/yamaha/MotifXF6_MotifXF7_MotifXF8.html
Digital,Jdxi,Roland Jd Xi Hybrid Synthesizer TR sequencer,https://www.sequencer.de/syns/roland/JdXi.html
Digital,Oasys,Korg Oasys Digital Synthesizer algorithmic arranger sequencer,https://www.sequencer.de/syns/korg/Oasys.html
Digital,Fusion,Alesis Fusion Digital Synthesizer midi sequencer,https://www.sequencer.de/syns/alesis/Fusion.html
Digital,Kronos,Korg Kronos Digital Synthesizer algorithmic arranger sequencer,https://www.sequencer.de/syns/korg/Kronos.html
Sampler,Krome,Korg Krome Sampler algorithmic arranger sequencer,https://www.sequencer.de/syns/korg/Krome.html
Digital,Jupiter80,Roland Jupiter 80 Digital Synthesizer simple sequencer,https://www.sequencer.de/syns/roland/Jupiter80.html
Softsynth,Moogv,Arturia Moog V Modular Software Synthesizer analog step sequencer,https://www.sequencer.de/syns/arturia/MoogV.html
Softsynth,2600V,Arturia 2600V Modular Software Synthesizer modulation step sequencer,https://www.sequencer.de/syns/arturia/2600V.html
Drum Machine,Schlagzwerg,MFB Schlagzwerg Drummachine/Module TR sequencer,https://www.sequencer.de/syns/mfb/Schlagzwerg.html
Softsynth,Absynth,Native Instruments Absynth software modulation step sequencer,https://www.sequencer.de/syns/nativeinstruments/Absynth.html
Softsynth,Reaktor,Native Instruments Reaktor Modular Software Synthesizer modulation step sequencer,https://www.sequencer.de/syns/nativeinstruments/Reaktor.html
Softsynth,Live,Ableton Live software sequencer elastic audio sequencer,https://www.sequencer.de/syns/ableton/Live.html
Softsynth,Prophetv,Arturia Prophet V software,https://www.sequencer.de/syns/arturia/ProphetV.html
Softsynth,Minimoogv,Arturia Minimoog V software,https://www.sequencer.de/syns/arturia/MinimoogV.html
Softsynth,Cs80V,Arturia CS80V software,https://www.sequencer.de/syns/arturia/CS80V.html
Softsynth,Jupiter8V,Arturia Jupiter 8V software analog step sequencer,https://www.sequencer.de/syns/arturia/Jupiter8V.html
Softsynth,Phatmaticpro,Bitshift Phatmatic Pro software audio sequencer,https://www.sequencer.de/syns/bitshift/PhatmaticPro.html
Softsynth,Melodyne,Celemony Melodyne software sequencer elastic audio sequencer,https://www.sequencer.de/syns/celemony/Melodyne.html
Softsynth,Vertigo,DiscoDSP Vertigo software,https://www.sequencer.de/syns/discodsp/Vertigo.html
Softsynth,Discovery,DiscoDSP Discovery software,https://www.sequencer.de/syns/discodsp/Discovery.html
Softsynth,Phantom,DiscoDSP Phantom software,https://www.sequencer.de/syns/discodsp/Phantom.html
Softsynth,Numerology,Five12 Numerology software sequencer modulation step sequencer,https://www.sequencer.de/syns/five12/Numerology.html
Softsynth,Dcam Synthsquad Cypher Amber Strobe,"fxpansion DCAM, Synthsquad , Cypher , Amber , Strobe software",https://www.sequencer.de/syns/fxpansion/DCAM_Synthsquad_Cypher_Amber_Strobe.html
Softsynth,Ds10,Korg DS10 software step sequencer,https://www.sequencer.de/syns/korg/DS10.html
Softsynth,Aalto,Madrona Aalto software modulation step sequencer,https://www.sequencer.de/syns/madrona/Aalto.html
Softsynth,Fm7 Fm8,"Native Instruments FM7, FM8 software TR sequencer",https://www.sequencer.de/syns/nativeinstruments/FM7_FM8.html
Softsynth,Massive,Native Instruments Massive software modulation step sequencer,https://www.sequencer.de/syns/nativeinstruments/Massive.html
Softsynth,Vokator,Native Instruments Vokator software modulation step sequencer,https://www.sequencer.de/syns/nativeinstruments/Vokator.html
Sampler,Maschine,Native Instruments Maschine Sampler groovebox sequencer,https://www.sequencer.de/syns/nativeinstruments/Maschine.html
Softsynth,Reason,Propellerheads Reason software sequencer performance sequencer,https://www.sequencer.de/syns/propellerheads/Reason.html
Softsynth,Komplexer,Terratec Komplexer software analog step sequencer,https://www.sequencer.de/syns/terratec/Komplexer.html
Softsynth,Diva,UHE Diva software,https://www.sequencer.de/syns/uhe/Diva.html
Softsynth,Zebra,UHE Zebra software,https://www.sequencer.de/syns/uhe/Zebra.html
Softsynth,Cube,Virsyn Cube software,https://www.sequencer.de/syns/virsyn/Cube.html
Softsynth,Largo,Waldorf Largo software step sequencer,https://www.sequencer.de/syns/waldorf/Largo.html
Drum Machine,Rhythmacefr20,Ace Tone Rhythm Ace FR20 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/acetone/RhythmAceFR20.html
Drum Machine,Rhythmacefr1,Ace Tone Rhythm Ace FR1 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/acetone/RhythmAceFR1.html
Drum Machine,Rhythmacefr2L,Ace Tone Rhythm Ace FR2L Drummachine/Module simple sequencer,https://www.sequencer.de/syns/acetone/RhythmAceFR2L.html
Drum Machine,Rhythmacefr3,Ace Tone Rhythm Ace FR3 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/acetone/RhythmAceFR3.html
Drum Machine,Rhythmacefr7L Fr8L,"Ace Tone Rhythm Ace FR7L, FR8L Drummachine/Module simple sequencer",https://www.sequencer.de/syns/acetone/RhythmAceFR7L_FR8L.html
Drum Machine,Rhythmace55,Ace Tone Rhythm Ace 55 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/acetone/RhythmAce55.html
Drum Machine,Miami,Acidlab Miami Drummachine/Module TR sequencer,https://www.sequencer.de/syns/acidlab/Miami.html
Sampler,Mpc60,Akai MPC60 Sampler real time sequencer,https://www.sequencer.de/syns/akai/MPC60.html
Sampler,Mpx8,Akai MPX8 Sampler,https://www.sequencer.de/syns/akai/MPX8.html
Drum Machine,Rhythmwolf,Akai Rhythm Wolf Drummachine/Module TR sequencer,https://www.sequencer.de/syns/akai/RhythmWolf.html
Sampler,Mpx16,Akai MPX16 Sampler,https://www.sequencer.de/syns/akai/MPX16.html
Drum Machine,Tomcat,Akai Tomcat Drummachine/Module TR sequencer,https://www.sequencer.de/syns/akai/TomCat.html
Drum Machine,Hr16 Hr16B,"Alesis HR16, HR16B Drummachine/Module real time sequencer",https://www.sequencer.de/syns/alesis/HR16_HR16B.html
Drum Machine,Sr16,Alesis SR16 Drummachine/Module real time sequencer,https://www.sequencer.de/syns/alesis/SR16.html
Sampler,Samplerack Samplepad,"Alesis Sample Rack , Sample Pad Sampler",https://www.sequencer.de/syns/alesis/SampleRack_SamplePad.html
Drum Machine,Rattlesnake,BME Rattlesnake Drummachine/Module step sequencer,https://www.sequencer.de/syns/bme/Rattlesnake.html
Drum Machine,Desertdrums,Cactus Desert Drums Drummachine/Module,https://www.sequencer.de/syns/cactus/DesertDrums.html
Sampler,Rz1,Casio RZ1 Sampler real time sequencer,https://www.sequencer.de/syns/casio/RZ1.html
Drum Machine,Md16,Cheetah MD16 Drummachine/Module real time sequencer,https://www.sequencer.de/syns/cheetah/MD16.html
Drum Machine,Norddrum Norddrum2,"Clavia Nord Drum , Nord Drum 2 Drummachine/Module",https://www.sequencer.de/syns/clavia/NordDrum_NordDrum2.html
Drum Machine,Drumsynthe Rds Ds7,"Coron Drum Synthe , RDS, DS7 Drummachine/Module",https://www.sequencer.de/syns/coron/DrumSynthe_RDS_DS7.html
Drum Machine,Minipops3,Diamond Minipops 3 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/diamond/Minipops3.html
Drum Machine,Ritmo20,Eko Ritmo 20 Drummachine/Module,https://www.sequencer.de/syns/eko/Ritmo20.html
Drum Machine,Drm16,Electro Harmonix DRM16 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/electroharmonix/DRM16.html
Drum Machine,Drumulator,Emu Drumulator Drummachine/Module real time sequencer,https://www.sequencer.de/syns/emu/Drumulator.html
Sampler,Sp1200 Sp12,"Emu SP1200, SP12 Sampler real time sequencer",https://www.sequencer.de/syns/emu/SP1200_SP12.html
Drum Machine,Procussion,Emu Procussion Drummachine/Module,https://www.sequencer.de/syns/emu/Procussion.html
Drum Machine,Proteus1Poprock,Emu Proteus 1Pop Rock Drummachine/Module,https://www.sequencer.de/syns/emu/Proteus1PopRock.html
Drum Machine,Proteus2Orchestral,Emu Proteus 2Orchestral Drummachine/Module,https://www.sequencer.de/syns/emu/Proteus2Orchestral.html
Drum Machine,Proteus3Worldinstruments,Emu Proteus 3World Instruments Drummachine/Module,https://www.sequencer.de/syns/emu/Proteus3WorldInstruments.html
Drum Machine,Xbase09,JoMoX XBase 09 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/jomox/XBase09.html
Drum Machine,Mbase01,JoMoX mbase 01 Drummachine/Module,https://www.sequencer.de/syns/jomox/mbase01.html
Drum Machine,Airbase01 Jazbase03,"JoMoX Airbase 01, Jazbase 03 Drummachine/Module",https://www.sequencer.de/syns/jomox/Airbase01_Jazbase03.html
Drum Machine,Xbase999,JoMoX XBase 999 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/jomox/XBase999.html
Drum Machine,Xbase888,JoMoX XBase 888 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/jomox/XBase888.html
Drum Machine,Mbrane11,JoMoX m Brane 11 Drummachine/Module,https://www.sequencer.de/syns/jomox/mBrane11.html
Drum Machine,R100 R50,"Kawai R100, R50 Drummachine/Module real time sequencer",https://www.sequencer.de/syns/kawai/R100_R50.html
Drum Machine,Kpr55,Korg KPR55 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/korg/KPR55.html
Drum Machine,Kpr77,Korg KPR77 Drummachine/Module step sequencer,https://www.sequencer.de/syns/korg/KPR77.html
Drum Machine,Minipops7,Korg Minipops 7 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/korg/Minipops7.html
Drum Machine,Ddd1 Ddd5,"Korg DDD1, DDD5 Drummachine/Module real time sequencer",https://www.sequencer.de/syns/korg/DDD1_DDD5.html
Drum Machine,Ddm110 Ddm220,"Korg DDM110, DDM220 Drummachine/Module real time sequencer",https://www.sequencer.de/syns/korg/DDM110_DDM220.html
Drum Machine,S3,Korg S3 Drummachine/Module real time sequencer,https://www.sequencer.de/syns/korg/S3.html
Drum Machine,Minipops120,Korg Minipops 120 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/korg/Minipops120.html
Drum Machine,Minipopsjuniorjr,Korg Minipops Junior JR Drummachine/Module simple sequencer,https://www.sequencer.de/syns/korg/MinipopsJuniorJR.html
Drum Machine,Minipops3,Korg Minipops 3 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/korg/Minipops3.html
Drum Machine,Doncamatic Checkmate Rockmate,"Korg Donca Matic , Checkmate , Rockmate Drummachine/Module simple sequencer",https://www.sequencer.de/syns/korg/DoncaMatic_Checkmate_Rockmate.html
Drum Machine,Doncamatic De20,"Korg Donca Matic , DE20 Drummachine/Module simple sequencer",https://www.sequencer.de/syns/korg/DoncaMatic_DE20.html
Drum Machine,Wavedrumx Wavedrumoriental,"Korg Wavedrum X, Wavedrum Oriental Drummachine/Module",https://www.sequencer.de/syns/korg/WavedrumX_WavedrumOriental.html
Drum Machine,Wavedrummini,Korg Wavedrum Mini Drummachine/Module,https://www.sequencer.de/syns/korg/WavedrumMini.html
Drum Machine,Linndrum,Linn Linndrum Drummachine/Module real time sequencer,https://www.sequencer.de/syns/linn/Linndrum.html
Drum Machine,Linn9000,Linn Linn 9000 Drummachine/Module real time sequencer,https://www.sequencer.de/syns/linn/Linn9000.html
Drum Machine,Lm1,Linn LM1 Drummachine/Module real time sequencer,https://www.sequencer.de/syns/linn/LM1.html
Drum Machine,Adx1,MAM ADX1 Drummachine/Module,https://www.sequencer.de/syns/mam/ADX1.html
Drum Machine,D1000 Vacuumtubedrummachine,"Metasonix D1000, Vacuum Tube Drum Machine Drummachine/Module step sequencer",https://www.sequencer.de/syns/metasonix/D1000_VacuumTubeDrumMachine.html
Drum Machine,Mfb502,MFB MFB502 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/mfb/MFB502.html
Drum Machine,Mfb501,MFB MFB501 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/mfb/MFB501.html
Drum Machine,Mfb1001 Mfb2001 Mfb1002 Mfb2002,"MFB MFB1001, MFB2001, MFB1002, MFB2002 Drummachine/Module",https://www.sequencer.de/syns/mfb/MFB1001_MFB2001_MFB1002_MFB2002.html
Drum Machine,Mfb1005 Mfb2005,"MFB MFB1005, MFB2005 Drummachine/Module",https://www.sequencer.de/syns/mfb/MFB1005_MFB2005.html
Drum Machine,Mfb512,MFB MFB512 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/mfb/MFB512.html
Drum Machine,Mfb612,MFB MFB612 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/mfb/MFB612.html
Drum Machine,Mfb503,MFB MFB503 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/mfb/MFB503.html
Drum Machine,Mfb522,MFB MFB522 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/mfb/MFB522.html
Drum Machine,Tanzbaer,MFB Tanzbaer Drummachine/Module TR sequencer,https://www.sequencer.de/syns/mfb/Tanzbaer.html
Drum Machine,Adx1,Mode Machines ADX1 Drummachine/Module,https://www.sequencer.de/syns/modemachines/ADX1.html
Drum Machine,185,MXR 185 Drummachine/Module real time sequencer,https://www.sequencer.de/syns/mxr/185.html
Drum Machine,Drumstation,Novation Drumstation Drummachine/Module,https://www.sequencer.de/syns/novation/Drumstation.html
Drum Machine,Dmx,Oberheim DMX Drummachine/Module real time sequencer,https://www.sequencer.de/syns/oberheim/DMX.html
Drum Machine,Dx Stretchdx,"Oberheim DX, stretch DX Drummachine/Module real time sequencer",https://www.sequencer.de/syns/oberheim/DX_stretchDX.html
Sampler,Prommer,Oberheim Prommer Sampler real time sequencer,https://www.sequencer.de/syns/oberheim/Prommer.html
Drum Machine,Syncussion Sy1,"Pearl Syncussion , SY1 Drummachine/Module",https://www.sequencer.de/syns/pearl/Syncussion_SY1.html
Drum Machine,Rhythmer,Rising Rhythmer Drummachine/Module simple sequencer,https://www.sequencer.de/syns/rising/Rhythmer.html
Drum Machine,Tr808,Roland TR808 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/roland/TR808.html
Drum Machine,Tr909,Roland TR909 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/roland/TR909.html
Drum Machine,Tr606,Roland TR606 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/roland/TR606.html
Drum Machine,Tr707,Roland TR707 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/roland/TR707.html
Drum Machine,Tr727,Roland TR727 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/roland/TR727.html
Drum Machine,Cr78,Roland CR78 Drummachine/Module step sequencer,https://www.sequencer.de/syns/roland/CR78.html
Drum Machine,Tr626,Roland TR626 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/roland/TR626.html
Drum Machine,Tr505,Roland TR505 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/roland/TR505.html
Drum Machine,Cr68,Roland CR68 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/roland/CR68.html
Drum Machine,Cr8000,Roland CR8000 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/roland/CR8000.html
Drum Machine,Tr66,Roland TR66 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/roland/TR66.html
Drum Machine,R8 R8M,"Roland R8, r 8m Drummachine/Module step sequencer",https://www.sequencer.de/syns/roland/R8_r8m.html
Drum Machine,R70,Roland R70 Drummachine/Module step sequencer,https://www.sequencer.de/syns/roland/R70.html
Drum Machine,Dr55,Roland DR55 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/roland/DR55.html
Drum Machine,Dr550 Dr660 Dr770,"Roland DR550, DR660, DR770 Drummachine/Module step sequencer",https://www.sequencer.de/syns/roland/DR550_DR660_DR770.html
Drum Machine,Dr110 Drrhythmgraphic,"Roland DR110, Dr Rhythm Graphic Drummachine/Module TR sequencer",https://www.sequencer.de/syns/roland/DR110_DrRhythmGraphic.html
Drum Machine,Tr8,Roland TR8 Drummachine/Module TR sequencer,https://www.sequencer.de/syns/roland/TR8.html
Drum Machine,Dpm48,Sakata DPM48 Drummachine/Module real time sequencer,https://www.sequencer.de/syns/sakata/DPM48.html
Drum Machine,Drumtraks,Sequential Circuits Drumtraks Drummachine/Module real time sequencer,https://www.sequencer.de/syns/sequentialcircuits/Drumtraks.html
Drum Machine,Tom,Sequential Circuits TOM Drummachine/Module real time sequencer,https://www.sequencer.de/syns/sequentialcircuits/TOM.html
Sampler,Studio440,Sequential Circuits Studio 440 Sampler real time sequencer,https://www.sequencer.de/syns/sequentialcircuits/Studio440.html
Drum Machine,Sds200,Simmons SDS200 Drummachine/Module,https://www.sequencer.de/syns/simmons/SDS200.html
Drum Machine,Sds8,Simmons SDS8 Drummachine/Module,https://www.sequencer.de/syns/simmons/SDS8.html
Drum Machine,Sds800,Simmons SDS800 Drummachine/Module,https://www.sequencer.de/syns/simmons/SDS800.html
Drum Machine,Sds6 Sds7,"Simmons SDS6, SDS7 Drummachine/Module TR sequencer",https://www.sequencer.de/syns/simmons/SDS6_SDS7.html
Drum Machine,Mtx9,Simmons MTX9 Drummachine/Module,https://www.sequencer.de/syns/simmons/MTX9.html
Drum Machine,Sds5 Sdsv,"Simmons SDS5, Sds V Drummachine/Module",https://www.sequencer.de/syns/simmons/SDS5_SdsV.html
Drum Machine,Disco64,Solton Disco 64 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/solton/Disco64.html
Drum Machine,Lxr,Sonic Potions LXR Drummachine/Module TR sequencer,https://www.sequencer.de/syns/sonicpotions/LXR.html
Drum Machine,Sr88,Sound Master SR88 Drummachine/Module step sequencer,https://www.sequencer.de/syns/soundmaster/SR88.html
Drum Machine,Stixprogramma St305,"Sound Master Stix Programma , ST305 Drummachine/Module real time sequencer",https://www.sequencer.de/syns/soundmaster/StixProgramma_ST305.html
Drum Machine,Synare3,Star Instruments Synare 3 Drummachine/Module,https://www.sequencer.de/syns/starinstruments/Synare3.html
Drum Machine,Synare2,Star Instruments Synare 2 Drummachine/Module step sequencer,https://www.sequencer.de/syns/starinstruments/Synare2.html
Drum Machine,Drm1Mk2,Vermona DRM1Mk 2 Drummachine/Module,https://www.sequencer.de/syns/vermona/DRM1Mk2.html
Drum Machine,Drm,Vermona DRM Drummachine/Module TR sequencer,https://www.sequencer.de/syns/vermona/DRM.html
Drum Machine,Er9,Vermona ER9 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/vermona/ER9.html
Drum Machine,Kicklancet,Vermona Kick Lancet Drummachine/Module,https://www.sequencer.de/syns/vermona/KickLancet.html
Drum Machine,Rackattack,Waldorf Rack Attack Drummachine/Module step sequencer,https://www.sequencer.de/syns/waldorf/RackAttack.html
Drum Machine,Sideman,Wurlitzer Sideman Drummachine/Module simple sequencer,https://www.sequencer.de/syns/wurlitzer/Sideman.html
Drum Machine,Ry10 Ry30 Ry20 Ry8,"Yamaha RY10, RY30, RY20, RY8 Drummachine/Module real time sequencer",https://www.sequencer.de/syns/yamaha/RY10_RY30_RY20_RY8.html
Drum Machine,Rm50,Yamaha RM50 Drummachine/Module,https://www.sequencer.de/syns/yamaha/RM50.html
Drum Machine,Mr10,Yamaha MR10 Drummachine/Module simple sequencer,https://www.sequencer.de/syns/yamaha/MR10.html
Sampler,Mpc2000 Mpc2000Xl,"Akai MPC2000, MPC2000XL Sampler real time sequencer",https://www.sequencer.de/syns/akai/MPC2000_MPC2000XL.html
Sampler,Mpc3000,Akai MPC3000 Sampler real time sequencer,https://www.sequencer.de/syns/akai/MPC3000.html
Sampler,Mpc1000 Mpc1000Bk,"Akai MPC1000, MPC1000BK Sampler real time sequencer",https://www.sequencer.de/syns/akai/MPC1000_MPC1000BK.html
Sampler,Mpc2500,Akai MPC2500 Sampler real time sequencer,https://www.sequencer.de/syns/akai/MPC2500.html
Sampler,Mpc4000,Akai MPC4000 Sampler real time sequencer,https://www.sequencer.de/syns/akai/MPC4000.html
Sampler,Mpc500,Akai MPC500 Sampler real time sequencer,https://www.sequencer.de/syns/akai/MPC500.html
Sampler,Mpc5000,Akai MPC5000 Sampler real time sequencer,https://www.sequencer.de/syns/akai/MPC5000.html
Sampler,Beatthang,Beatkangz Beat Thang Sampler real time sequencer,https://www.sequencer.de/syns/beatkangz/BeatThang.html
Groovebox,Tempest,Dave Smith Tempest groovebox TR sequencer,https://www.sequencer.de/syns/davesmith/Tempest.html
Groovebox,Machinedrum Uw Sps1,"Elektron Machinedrum , UW, sps 1 groovebox TR sequencer",https://www.sequencer.de/syns/elektron/Machinedrum_UW_sps1.html
Groovebox,Monomachine Sfx60,"Elektron Monomachine , SFX60 groovebox TR sequencer",https://www.sequencer.de/syns/elektron/Monomachine_SFX60.html
Groovebox,Machinedrummkii Sps1Uwmarkii,"Elektron Machinedrum Mk II, SPS1UWMark II groovebox TR sequencer",https://www.sequencer.de/syns/elektron/MachinedrumMkII_SPS1UWMarkII.html
Groovebox,Monomachinemkii Sfx60Markii,"Elektron Monomachine Mk II, SFX60Mark II groovebox TR sequencer",https://www.sequencer.de/syns/elektron/MonomachineMkII_SFX60MarkII.html
Sampler,Octatrack,Elektron Octatrack Sampler TR sequencer,https://www.sequencer.de/syns/elektron/Octatrack.html
Groovebox,Analogfour Analog4 A4,"Elektron Analog Four , Analog 4, A4 groovebox TR sequencer",https://www.sequencer.de/syns/elektron/AnalogFour_Analog4_A4.html
Groovebox,Analogkeys,Elektron Analog Keys groovebox TR sequencer,https://www.sequencer.de/syns/elektron/AnalogKeys.html
Groovebox,Analogrytm,Elektron Analog Rytm groovebox TR sequencer,https://www.sequencer.de/syns/elektron/AnalogRytm.html
Sampler,Asrx,Ensoniq Asr X Sampler advanced sequencer,https://www.sequencer.de/syns/ensoniq/AsrX.html
Sampler,Electribesx1 Esx1,"Korg Electribe SX1, ESX1 Sampler TR sequencer",https://www.sequencer.de/syns/korg/ElectribeSX1_ESX1.html
Groovebox,Electribemx1 Emx1,"Korg Electribe MX1, EMX1 groovebox TR sequencer",https://www.sequencer.de/syns/korg/ElectribeMX1_EMX1.html
Groovebox,Electribes Es1Mk2,"Korg Electribe S, ES1Mk 2 groovebox TR sequencer",https://www.sequencer.de/syns/korg/ElectribeS_ES1Mk2.html
Groovebox,Electribea Ea1Mk2,"Korg Electribe A, EA1Mk 2 groovebox TR sequencer",https://www.sequencer.de/syns/korg/ElectribeA_EA1Mk2.html
Groovebox,Electriber Er1Mk2,"Korg Electribe R, ER1Mk 2 groovebox TR sequencer",https://www.sequencer.de/syns/korg/ElectribeR_ER1Mk2.html
Groovebox,Electribem Em1,"Korg Electribe M, EM1 groovebox TR sequencer",https://www.sequencer.de/syns/korg/ElectribeM_EM1.html
Groovebox,Volcabeats,Korg Volca Beats groovebox TR sequencer,https://www.sequencer.de/syns/korg/VolcaBeats.html
